IDDetailsParametresMailing,IDParametresMailingRef,Brochure ou mail,Titre parties du mail,Détails de cette partie (1),Détails de cette partie (2),Détails de cette partie (3),Détails de cette partie (4),Détails de cette partie (5),Détails de cette partie (6),Afficher ou Masquer,Important ou non
59296b68,ed160a0c,Mail,,La Gestion des chantiers,Difficulté à suivre l’avancement et les étapes de chaque chantier,Tableau de bord des chantiers avec statut (prévu / en cours / terminé),,Vous rencontrez des difficultés à suivre l’avancement de vos chantiers ? Trop informations perdues/dispersées entre le bureau et le terrain ?,"La solution : un tableau de bord pour une gestion optimale de vos plannings et donc des chantiers avec tous les éléments dans chaque dossier chantier (chantier en cours/terminé, chantier urgent, …).",Afficher,Important
3f45a631,ed160a0c,Mail,,La Gestion des chantiers,Perte d’informations entre le bureau et le terrain,"Suivi des étapes clés (pose, test, réception, etc.)",,,,Afficher,Important
0dc7aee2,ed160a0c,Mail,,La Gestion des chantiers,Photos et notes dispersées ou perdues,Historique photo et compte rendu par date/intervenant,,,,Afficher,Important
94872b90,ed160a0c,Mail,,La Gestion des chantiers,Planification complexe des interventions en fonction des urgences,Création d'alerte et attribution d'états de priorité,,,,Afficher,Important
6ede63e9,ed160a0c,Mail,,"Devis, facture et suivi administratif","Création de devis/factures fastidieuse ou dispersée (erreur de calcul, oublis de lignes, ...)",Génération automatique de devis/factures à partir des interventions,,"La gestion de vos devis, factures et documents administratifs est désordonnée (erreur de calcul, oublis de lignes, oublis de relance de paiement, ...) ?","La solution : un outil de génération automatique de devis et de factures avec un suivi des paiements et un système d’alerte pour les impayés ou retards de paiement ainsi qu'une centralisation de tout l’historique des clients et des chantiers (factures liées, photos, documents, ...).",Afficher,Important
ee3d2e5e,ed160a0c,Mail,,"Devis, facture et suivi administratif",Difficulté à suivre les paiements clients et relances,Suivi des paiements (reçu / en attente / relance) et Alerte pour les impayés ou retards de devis à envoyer,,,,Afficher,Important
f5002575,ed160a0c,Mail,,"Devis, facture et suivi administratif",Classement et historique des documents administratifs,"Centralisation de tout l’historique client et chantier (factures liées, ...)",,,,Afficher,Important
91fb7170,ed160a0c,Mail,,Gestion du matériel et des stocks,Oublis de commande de matériel avant le chantier,Système d'alertes pour les commandes à passer,,"Vous rencontrez des difficultés dans la gestion de votre stock (manque de visibilité sur le stock actuel, matériel inutile ou en double, ...) ? Vous oubliez parfois de commander du matériel ?","La solution : Un système d'alertes pour les commandes à passer, création de fiches de stocks (entrée/sortie) automatiques, liste de matériel nécessaire par type de chantier et création d'un suivi des outils attribués à chaque technicien.",Afficher,Important
a38e5c2f,ed160a0c,Mail,,Gestion du matériel et des stocks,"Manque de visibilité sur le stock (vannes, tuyaux, joints, robinets…)",Fiche stock automatisée (entrée/sortie),,,,Afficher,Important
06a77c87,ed160a0c,Mail,,Gestion du matériel et des stocks,Achat de matériel en double ou inutile,Liste de matériel nécessaire par type de chantier,,,,Afficher,Important
d5bb6a23,ed160a0c,Mail,,Gestion du matériel et des stocks,Difficile de savoir où se trouve un outil (camion / dépôt / chantier),Suivi des outils attribués à chaque technicien,,,,Afficher,Important
999399f5,ed160a0c,Mail,,Gestion des équipes et sous-traitants,Difficulté à savoir qui est sur quel chantier,Planning collaboratif en temps réel (chantiers / techniciens / heures),,"Le suivi des heures réelles travaillées, la récupération des heures supp ou savoir qui est sur quel chantier vous pose problème ?",La solution : Un planning collaboratif en temps réel (chantiers / techniciens / heures) avec un système de pointage mobile via smartphone et tableau de bord résumant le tout.,Afficher,Important
3b5ada08,ed160a0c,Mail,,Gestion des équipes et sous-traitants,Pas de suivi des heures de travail réelles ou difficulté à récupérer les heures de chaque employé,Pointage mobile via smartphone (avec une possible géolocalisation chantier),,,,Afficher,Important
6ed29565,ed160a0c,Mail,,Gestion des équipes et sous-traitants,Problèmes de coordination avec les sous-traitants,Messagerie interne par chantier ou Planning collaboratif avec états d'avancement,,,,Afficher,Important
ce1349ac,ed160a0c,Mail,,Suivi client et SAV,"Difficulté à retrouver l’historique d’un client (travaux faits, devis, factures)",Fiche client complète avec historique,,"Le suivi client est fastidieux avec des difficultés à retrouver les historiques (travaux faits, devis, factures), vous perdez du temps à gérer les appels/réclamations de SAV et la planification des entretiens annuels est complexe ?","La solution : Des fiches clients complètes avec historique, un suivi des interventions passées et à venir, l'envoi de rappels automatiques pour les entretiens annuels et un outil de gestion des tickets SAV (problème → technicien assigné → résolution).",Afficher,Important
8f9a952a,ed160a0c,Mail,,Suivi client et SAV,Perte de temps à gérer les appels et réclamations,Suivi des interventions passées et à venir,,,,Afficher,Important
7aec9212,ed160a0c,Mail,,Suivi client et SAV,Difficile de planifier les entretiens ou vérifications annuelles (ex : chauffe-eau),Rappels automatiques pour les entretiens annuels et Gestion des tickets SAV (problème → technicien assigné → résolution),,,,Afficher,Important
2be21b8c,ed160a0c,Mail,,Planification et agenda,Difficulté à organiser les rendez-vous clients,Agenda partagé synchronisé,,"Vous rencontrez des difficultés à organiser les rendez-vous clients, vous oubliez parfois des interventions prévues et les imprévus vous font perdre du temps ?","La solution : Un agenda partagé avec l'envoi de notifications automatiques lors des modifications ainsi qu'un outil de gestion des urgences (plomberie fuite, dépannage rapide…).",Afficher,Important
f5eb7769,ed160a0c,Mail,,Planification et agenda,Oublis d’interventions prévues,Notifications automatiques des changements,,,,Afficher,Important
c95e4f7a,ed160a0c,Mail,,Planification et agenda,Temps perdu à réorganiser les plannings après imprévus,"Gestion des urgences (plomberie fuite, dépannage rapide…)",,,,Afficher,Important
a64751f6,ed160a0c,Mail,,Suivi financier et rentabilité,Pas de vision claire sur les marges par chantier,"Tableau de bord financier (chiffre d’affaires, dépenses, marges)",,"Vous manquez de vision claire sur les marges par chantier (comparer les coûts estimés / réels, ...) et cela vous arrive d'oublier des frais ou dépenses annexes (déplacements, fournitures, sous-traitance) ?","La solution : Un tableau de bord financier (chiffre d’affaires, dépenses, marges), la saisie simple des dépenses par photo de tickets/factures ainsi que des rapports automatiques de rentabilité.",Afficher,Important
2ff4f4a3,ed160a0c,Mail,,Suivi financier et rentabilité,"Oublis de frais ou dépenses annexes (déplacements, fournitures, sous-traitance)",Saisie simple des dépenses par photo de ticket,,,,Afficher,Important
191eaaed,ed160a0c,Mail,,Suivi financier et rentabilité,Difficile de comparer les coûts estimés / réels,Rapports automatiques de rentabilité,,,,Afficher,Important
v3p3q2k1,ed160a0c,Brochure,,La Gestion des chantiers,Difficulté à suivre l’avancement et les étapes de chaque chantier,Tableau de bord des chantiers avec statut (prévu / en cours / terminé),,,,Afficher,Important
g5o0p3b3,ed160a0c,Brochure,,La Gestion des chantiers,Manque de visibilité sur les interventions à venir,"Suivi des étapes clés (pose, test, réception, etc.)",,,,Afficher,Important
f4h6t3x8,ed160a0c,Brochure,,La Gestion des chantiers,Perte d'informations entre le bureau et le terrain,Check-list automatique pour chaque type d’intervention,,,,Afficher,Important
z8b0a5b6,ed160a0c,Brochure,,La Gestion des chantiers,Pas de suivi des heures passées par chantier,Historique photo et compte rendu par date/intervenant,,,,Afficher,Important
e8c4j7s0,ed160a0c,Brochure,,La Gestion des chantiers,Coordination difficile avec les sous-traitants ou artisans externes,Notifications et alertes pour interventions urgentes ou retardées,,,,Afficher,Important
z2q3q6q1,ed160a0c,Brochure,,La Gestion des chantiers,Difficile de planifier les passages en fonction des urgences ou retards,Planification intelligente selon disponibilités et urgences,,,,Afficher,Important
u7d1k9l2,ed160a0c,Brochure,,La Gestion des chantiers,"Pas de traçabilité sur les interventions (qui est passé, quand, pourquoi)",Suivi du temps passé par chantier,,,,Afficher,Important
k9k9q5w9,ed160a0c,Brochure,,La Gestion des chantiers,Oublis de tâches à faire sur certains chantiers,Gestion centralisée des sous-traitants et collaborateurs,,,,Afficher,Important
b7r4v9a5,ed160a0c,Brochure,,"Devis, facture et suivi administratif","Création de devis/factures fastidieuse ou dispersée (Papier, logiciels, ...)",Génération automatique de devis/factures à partir des interventions,,,,Afficher,Important
e4u4x2i7,ed160a0c,Brochure,,"Devis, facture et suivi administratif",Erreurs de calculs ou oublis de lignes dans les devis,Historique client + factures liées,,,,Afficher,Important
q2x9e2e1,ed160a0c,Brochure,,"Devis, facture et suivi administratif",Difficulté à suivre les paiements clients et relances,Suivi des paiements (reçu / en attente / relance),,,,Afficher,Important
y4j0z8b0,ed160a0c,Brochure,,"Devis, facture et suivi administratif",Gestion manuelle des acomptes et soldes,Alerte pour les impayés ou retards de devis à envoyer,,,,Afficher,Important
p2t9z6l0,ed160a0c,Brochure,,"Devis, facture et suivi administratif",Pas de suivi des marges ni de la rentabilité par chantier,Export comptable ou lien vers un tableur,,,,Afficher,Important
b8i2f5n1,ed160a0c,Brochure,,"Devis, facture et suivi administratif",Classement et archivage difficile des documents administratifs,Calcul automatique de la marge par chantier,,,,Afficher,Important
f5l1y8x2,ed160a0c,Brochure,,Gestion du matériel et des stocks,Oublis de commande de matériel avant le chantier,Fiche stock automatisée (entrée/sortie),,,,Afficher,Important
w5v7x6u0,ed160a0c,Brochure,,Gestion du matériel et des stocks,"Manque de visibilité sur le stock (vannes, tuyaux, joints, robinets…)",Scan QR code ou code-barres sur chaque produit,,,,Afficher,Important
m0e7d4w4,ed160a0c,Brochure,,Gestion du matériel et des stocks,Achat de matériel en double ou inutile,Liste de matériel nécessaire par type de chantier,,,,Afficher,Important
f7q6u8j6,ed160a0c,Brochure,,Gestion du matériel et des stocks,Difficile de savoir où se trouve un outil (camion / dépôt / chantier),Suivi des outils attribués à chaque technicien,,,,Afficher,Important
a9r0u3g7,ed160a0c,Brochure,,Gestion du matériel et des stocks,Pertes ou oublis de matériel sur place,Alertes sur stocks faibles ou commandes à passer,,,,Afficher,Important
c8r3i8l5,ed160a0c,Brochure,,Gestion des équipes et sous-traitants,Mauvaise communication entre le chef et les ouvriers,Planning collaboratif (chantiers / techniciens / heures),,,,Afficher,Important
k1g2d5r2,ed160a0c,Brochure,,Gestion des équipes et sous-traitants,Difficulté à savoir qui est sur quel chantier,Pointage mobile via smartphone,,,,Afficher,Important
r7h0h2a8,ed160a0c,Brochure,,Gestion des équipes et sous-traitants,Pas de suivi des heures de travail réelles ou difficulté à récupérer les heures de chaque employé,Suivi automatique du temps passé par chantier,,,,Afficher,Important
d5n1d2q6,ed160a0c,Brochure,,Gestion des équipes et sous-traitants,Feuilles de présence papier perdues ou mal remplies,Système de messagerie ou notes internes liées au chantier,,,,Afficher,Important
g3y5f0b4,ed160a0c,Brochure,,Gestion des équipes et sous-traitants,Problèmes de coordination avec les sous-traitants,Gestion des absences et remplacements,,,,Afficher,Important
u8i5s3z2,ed160a0c,Brochure,,Suivi client et SAV,"Difficulté à retrouver l’historique d’un client (travaux faits, devis, factures)",Fiche client complète avec historique,,,,Afficher,Important
y0u5l0p4,ed160a0c,Brochure,,Suivi client et SAV,Perte de temps à gérer les appels et réclamations,Suivi des interventions passées et à venir,,,,Afficher,Important
a4z1j3r3,ed160a0c,Brochure,,Suivi client et SAV,Pas de suivi structuré des garanties,Rappels automatiques pour les entretiens annuels,,,,Afficher,Important
b5r8p1f0,ed160a0c,Brochure,,Suivi client et SAV,Difficile de planifier les entretiens ou vérifications annuelles (ex : chauffe-eau),Gestion des tickets SAV (problème → technicien assigné → résolution),,,,Afficher,Important
s8g1e2z4,ed160a0c,Brochure,,Planification et agenda,Difficulté à organiser les rendez-vous clients,Agenda partagé synchronisé,,,,Afficher,Important
w5c1q4z5,ed160a0c,Brochure,,Planification et agenda,Oublis d’interventions prévues,Notifications automatiques des changements,,,,Afficher,Important
t8i8t6r0,ed160a0c,Brochure,,Planification et agenda,Pas de synchronisation entre le bureau et les techniciens,Vue hebdomadaire ou mensuelle des chantiers,,,,Afficher,Important
x2n6x4d7,ed160a0c,Brochure,,Planification et agenda,Temps perdu à réorganiser les plannings après imprévus,"Gestion des urgences (plomberie fuite, dépannage rapide…)",,,,Afficher,Important
e3r3i9t7,ed160a0c,Brochure,,Suivi financier et rentabilité,Pas de vision claire sur les marges par chantier,"Tableau de bord financier (chiffre d’affaires, dépenses, marges)",,,,Afficher,Important
b6s8d6d8,ed160a0c,Brochure,,Suivi financier et rentabilité,"Oublis de frais (déplacements, fournitures, sous-traitance)",Saisie simple des dépenses par photo de ticket,,,,Afficher,Important
b0t3h4j4,ed160a0c,Brochure,,Suivi financier et rentabilité,Difficile de comparer les coûts estimés / réels,Rapports automatiques de rentabilité,,,,Afficher,Important
z8f0r3e9,ed160a0c,Brochure,,Suivi financier et rentabilité,Suivi comptable manuel et lourd,Suivi des acomptes et factures,,,,Afficher,Important
34d30896,ed160a0c,Brochure,,La Gestion des chantiers,"Difficulté à centraliser les photos, devis et notes de chantier",,,,,Afficher,Important
36556620,ed160a0c,Brochure,,La Gestion des chantiers,Absence de check-list pour chaque type d’intervention,,,,,Afficher,Important
e6578402,ed160a0c,Brochure,,"Devis, facture et suivi administratif",Devis non signés ou validés après trop de temps,Classement automatique des documents,,,,Afficher,Important
cdfd35f5,ed160a0c,Brochure,,"Devis, facture et suivi administratif",Perte de temps à retrouver les documents pour un client,Possibilité de signatures électroniques,,,,Afficher,Important
97491eb1,ed160a0c,Brochure,,"Devis, facture et suivi administratif",Mauvaise visibilité sur les factures impayées,,,,,Afficher,Important
bfa5ec8c,ed160a0c,Brochure,,"Devis, facture et suivi administratif",Difficulté à générer des rapports comptables fiables,,,,,Afficher,Important
e95cc3f6,ed160a0c,Brochure,,Gestion du matériel et des stocks,"Suivi des dates de péremption des consommables (joint, colles…)",Gestion des dates de péremption,,,,Afficher,Important
3ec09c9d,ed160a0c,Brochure,,Gestion du matériel et des stocks,Temps perdu à faire l’inventaire,Inventaire automatisé et rapide,,,,Afficher,Important
036ae97e,ed160a0c,Brochure,,Gestion du matériel et des stocks,Manque de contrôle sur les outils attribués aux techniciens,Suivi des retours et échanges fournisseurs,,,,Afficher,Important
2f30f04f,ed160a0c,Brochure,,Gestion du matériel et des stocks,Difficulté à anticiper le besoin en matériel selon les chantiers futurs,,,,,Afficher,Important
bdba04ab,ed160a0c,Brochure,,Gestion du matériel et des stocks,Gestion compliquée des retours ou échanges fournisseurs,,,,,Afficher,Important
197fa32b,ed160a0c,Brochure,,Gestion des équipes et sous-traitants,Mauvaise gestion des congés et absences,Statistiques et reporting sur performances des équipes,,,,Afficher,Important
dbfc5181,ed160a0c,Brochure,,Gestion des équipes et sous-traitants,Temps perdu à replanifier après imprévus,,,,,Afficher,Important
c56658f4,ed160a0c,Brochure,,Gestion des équipes et sous-traitants,Difficulté à prioriser les interventions selon les compétences,,,,,Afficher,Important
12e4a91e,ed160a0c,Brochure,,Gestion des équipes et sous-traitants,Gestion compliquée des remplacements,,,,,Afficher,Important
48c9c8cd,ed160a0c,Brochure,,Gestion des équipes et sous-traitants,Pas de suivi des performances ou indicateurs équipes,,,,,Afficher,Important
98b58cdb,ed160a0c,Brochure,,Suivi client et SAV,Difficulté à rappeler les clients pour suivis réguliers,Priorisation et affectation intelligente selon compétences,,,,Afficher,Important
9285a1d5,ed160a0c,Brochure,,Suivi client et SAV,Oubli de documents contractuels ou preuves de passage,,,,,Afficher,Important
5c6eae7a,ed160a0c,Brochure,,Suivi client et SAV,Gestion des urgences non planifiée,,,,,Afficher,Important
2b633a74,ed160a0c,Brochure,,Suivi client et SAV,Difficulté à affecter le bon technicien selon le problème,,,,,Afficher,Important
fc536f00,ed160a0c,Brochure,,Suivi client et SAV,Difficulté à prioriser les tickets SAV,,,,,Afficher,Important
9118463b,ed160a0c,Brochure,,Suivi client et SAV,Communication dispersée avec le client,,,,,Afficher,Important
53e7b0ad,ed160a0c,Brochure,,Planification et agenda,Difficulté à gérer urgences et dépannages rapides,Mise à jour instantanée pour tous les collaborateurs,,,,Afficher,Important
47f91c59,ed160a0c,Brochure,,Planification et agenda,Double réservation ou chevauchement de rendez-vous,,,,,Afficher,Important
81a4d31a,ed160a0c,Brochure,,Planification et agenda,Visibilité insuffisante sur la disponibilité des techniciens,,,,,Afficher,Important
17cb01a5,ed160a0c,Brochure,,Planification et agenda,Absence de planning partagé accessible à tous,,,,,Afficher,Important
264731f5,ed160a0c,Brochure,,Planification et agenda,Manque de vue globale sur la semaine/mois,,,,,Afficher,Important
d55e776c,ed160a0c,Brochure,,Planification et agenda,Réorganisation lourde après annulations,,,,,Afficher,Important
f994ec67,ed160a0c,Brochure,,Suivi financier et rentabilité,Temps perdu à consolider les dépenses,Comparaison coûts estimés / réels et alertes sur dépassements,,,,Afficher,Important
998ba63c,ed160a0c,Brochure,,Suivi financier et rentabilité,Manque de visibilité sur chiffre d’affaires global,,,,,Afficher,Important
cff30ced,ed160a0c,Brochure,,Suivi financier et rentabilité,Difficile de prévoir les budgets pour futurs chantiers,,,,,Afficher,Important
494c265b,ed160a0c,Brochure,,Suivi financier et rentabilité,Gestion des acomptes et factures partiellement reçues,,,,,Afficher,Important
24380c0d,ed160a0c,Brochure,,Suivi financier et rentabilité,Difficulté à identifier les chantiers non rentables,,,,,Afficher,Important
3026159e,ed160a0c,Brochure,,Suivi financier et rentabilité,Reporting financier peu clair ou inexistant,,,,,Afficher,Important
g5n1i0s9,169f527c,Mail,,La Gestion des chantiers,Difficulté à suivre l’avancement et les étapes de chaque chantier,Tableau de bord des chantiers avec statut (prévu / en cours / terminé),,Vous rencontrez des difficultés à suivre l’avancement de vos chantiers ? Trop informations perdues/dispersées entre le bureau et le terrain ?,"La solution : un tableau de bord pour une gestion optimale de vos plannings et donc des chantiers avec tous les éléments dans chaque dossier chantier (chantier en cours/terminé, chantier urgent, …).",Afficher,Important
f7i9q3p8,169f527c,Mail,,La Gestion des chantiers,Perte d’informations entre le bureau et le terrain,Suivi des étapes clés,,,,Afficher,Important
q4u9k7t3,169f527c,Mail,,La Gestion des chantiers,Photos et notes dispersées ou perdues,Historique photo et compte rendu par date/intervenant,,,,Afficher,Important
r0t8d3q8,169f527c,Mail,,La Gestion des chantiers,Planification complexe des interventions en fonction des urgences,Création d'alerte et attribution d'états de priorité,,,,Afficher,Important
c0b0b0c4,169f527c,Mail,,"Devis, facture et suivi administratif","Création de devis/factures fastidieuse ou dispersée (erreur de calcul, oublis de lignes, ...)",Génération automatique de devis/factures à partir des interventions,,"La gestion de vos devis, factures et documents administratifs est désordonnée (erreur de calcul, oublis de lignes, oublis de relance de paiement, ...) ?","La solution : un outil de génération automatique de devis et de factures avec un suivi des paiements et un système d’alerte pour les impayés ou retards de paiement ainsi qu'une centralisation de tout l’historique des clients et des chantiers (factures liées, photos, documents, ...).",Afficher,Important
x7h4j6x3,169f527c,Mail,,"Devis, facture et suivi administratif",Difficulté à suivre les paiements clients et relances,Suivi des paiements (reçu / en attente / relance) et Alerte pour les impayés ou retards de devis à envoyer,,,,Afficher,Important
a5s4b6t8,169f527c,Mail,,"Devis, facture et suivi administratif",Classement et historique des documents administratifs,"Centralisation de tout l’historique client et chantier (factures liées, ...)",,,,Afficher,Important
x6n4z0p1,169f527c,Mail,,Gestion du matériel et des stocks,Oublis de commande de matériel avant le chantier,Système d'alertes pour les commandes à passer,,"Vous rencontrez des difficultés dans la gestion de votre stock (manque de visibilité sur le stock actuel, matériel inutile ou en double, ...) ? Vous oubliez parfois de commander du matériel ?","La solution : Un système d'alertes pour les commandes à passer, création de fiches de stocks (entrée/sortie) automatiques, liste de matériel nécessaire par type de chantier et création d'un suivi des outils attribués à chaque technicien.",Afficher,Important
o5o7d7y9,169f527c,Mail,,Gestion du matériel et des stocks,Manque de visibilité sur le stock,Fiche stock automatisée (entrée/sortie),,,,Afficher,Important
h7t6y0l1,169f527c,Mail,,Gestion du matériel et des stocks,Achat de matériel en double ou inutile,Liste de matériel nécessaire par type de chantier,,,,Afficher,Important
i7c1a6j7,169f527c,Mail,,Gestion du matériel et des stocks,Difficile de savoir où se trouve un outil (camion / dépôt / chantier),Suivi des outils attribués à chaque technicien,,,,Afficher,Important
j5h3r3c5,169f527c,Mail,,Gestion des équipes et sous-traitants,Difficulté à savoir qui est sur quel chantier,Planning collaboratif en temps réel (chantiers / techniciens / heures),,"Le suivi des heures réelles travaillées, la récupération des heures supp ou savoir qui est sur quel chantier vous pose problème ?",La solution : Un planning collaboratif en temps réel (chantiers / techniciens / heures) avec un système de pointage mobile via smartphone et tableau de bord résumant le tout.,Afficher,Important
u7v8r7x5,169f527c,Mail,,Gestion des équipes et sous-traitants,Pas de suivi des heures de travail réelles ou difficulté à récupérer les heures de chaque employé,Pointage mobile via smartphone (avec une possible géolocalisation chantier),,,,Afficher,Important
j0i3a3h8,169f527c,Mail,,Gestion des équipes et sous-traitants,Problèmes de coordination avec les sous-traitants,Messagerie interne par chantier ou Planning collaboratif avec états d'avancement,,,,Afficher,Important
t6t1s0w3,169f527c,Mail,,Suivi client et SAV,"Difficulté à retrouver l’historique d’un client (travaux faits, devis, factures)",Fiche client complète avec historique,,"Le suivi client est fastidieux avec des difficultés à retrouver les historiques (travaux faits, devis, factures), vous perdez du temps à gérer les appels/réclamations de SAV et la planification des rendez-vous est complexe ?","La solution : Des fiches clients complètes avec historique, un suivi des interventions passées et à venir, l'envoi de rappels automatiques pour les rendez-vous et un outil de gestion des tickets SAV (problème → technicien assigné → résolution).",Afficher,Important
n4d9i2q8,169f527c,Mail,,Suivi client et SAV,Perte de temps à gérer les appels et réclamations,Suivi des interventions passées et à venir,,,,Afficher,Important
y2j7o0w2,169f527c,Mail,,Suivi client et SAV,Gestion des garanties (pose / produit),Rappels automatiques pour les entretiens annuels et Gestion des tickets SAV (problème → technicien assigné → résolution),,,,Afficher,Important
f4p8a7c1,169f527c,Mail,,Planification et agenda,Difficulté à organiser les rendez-vous clients,Agenda partagé synchronisé,,"Vous rencontrez des difficultés à organiser les rendez-vous clients, vous oubliez parfois des interventions prévues et les imprévus vous font perdre du temps ?",La solution : Un agenda partagé avec l'envoi de notifications automatiques lors des modifications ainsi qu'un outil de gestion des urgences.,Afficher,Important
x0e2a9f1,169f527c,Mail,,Planification et agenda,Oublis d’interventions prévues,Notifications automatiques des changements,,,,Afficher,Important
b2h4g1w3,169f527c,Mail,,Planification et agenda,Temps perdu à réorganiser les plannings après imprévus,"Gestion des urgences (dépannage rapide, …)",,,,Afficher,Important
