IDDetailsParametresMailing,IDParametresMailingRef,Brochure ou mail,Titre parties du mail,Détails de cette partie (1),Détails de cette partie (2),Détails de cette partie (3),Détails de cette partie (4),Détails de cette partie (5),Détails de cette partie (6),Afficher ou Masquer,Important ou non
f9b8a9o0,169f527c,Mail,,Suivi financier et rentabilité,Pas de vision claire sur les marges par chantier,"Tableau de bord financier (chiffre d’affaires, dépenses, marges)",,"Vous manquez de vision claire sur les marges par chantier (comparer les coûts estimés / réels, ...) et cela vous arrive d'oublier des frais ou dépenses annexes (déplacements, fournitures, sous-traitance) ?","La solution : Un tableau de bord financier (chiffre d’affaires, dépenses, marges), la saisie simple des dépenses par photo de tickets/factures ainsi que des rapports automatiques de rentabilité.",Afficher,Important
w9y5l4a8,169f527c,Mail,,Suivi financier et rentabilité,"Oublis de frais ou dépenses annexes (déplacements, fournitures, sous-traitance)",Saisie simple des dépenses par photo de ticket,,,,Afficher,Important
u0e4b3t5,169f527c,Mail,,Suivi financier et rentabilité,Difficile de comparer les coûts estimés / réels,Rapports automatiques de rentabilité,,,,Afficher,Important
t5g7m4z2,169f527c,Brochure,,La Gestion des chantiers,Difficulté à suivre l’avancement et les étapes de chaque chantier,Tableau de bord des chantiers avec statut (prévu / en cours / terminé),,,,Afficher,Important
j0n8b9i9,169f527c,Brochure,,La Gestion des chantiers,Manque de visibilité sur les interventions à venir,Suivi des étapes clés,,,,Afficher,Important
d3b1v1c6,169f527c,Brochure,,La Gestion des chantiers,Perte d'informations entre le bureau et le terrain,Check-list automatique pour chaque type d’intervention,,,,Afficher,Important
n2l4j2j8,169f527c,Brochure,,La Gestion des chantiers,Pas de suivi des heures passées par chantier,Historique photo et compte rendu par date/intervenant,,,,Afficher,Important
o6c8q5f7,169f527c,Brochure,,La Gestion des chantiers,Coordination difficile avec les sous-traitants ou artisans externes,Notifications et alertes pour interventions urgentes ou retardées,,,,Afficher,Important
i0f5o9h1,169f527c,Brochure,,La Gestion des chantiers,Difficile de planifier les passages en fonction des urgences ou retards,Planification intelligente selon disponibilités et urgences,,,,Afficher,Important
v6b2k4b0,169f527c,Brochure,,La Gestion des chantiers,"Pas de traçabilité sur les interventions (qui est passé, quand, pourquoi)",Suivi du temps passé par chantier,,,,Afficher,Important
a6w3q6n4,169f527c,Brochure,,La Gestion des chantiers,Oublis de tâches à faire sur certains chantiers,Gestion centralisée des sous-traitants et collaborateurs,,,,Afficher,Important
v4z1w7m6,169f527c,Brochure,,"Devis, facture et suivi administratif","Création de devis/factures fastidieuse ou dispersée (Papier, logiciels, ...)",Génération automatique de devis/factures à partir des interventions,,,,Afficher,Important
a3j8a9p5,169f527c,Brochure,,"Devis, facture et suivi administratif",Erreurs de calculs ou oublis de lignes dans les devis,Historique client + factures liées,,,,Afficher,Important
j5g7k9f4,169f527c,Brochure,,"Devis, facture et suivi administratif",Difficulté à suivre les paiements clients et relances,Suivi des paiements (reçu / en attente / relance),,,,Afficher,Important
a1m7c7u7,169f527c,Brochure,,"Devis, facture et suivi administratif",Gestion manuelle des acomptes et soldes,Alerte pour les impayés ou retards de devis à envoyer,,,,Afficher,Important
b3y5i0r0,169f527c,Brochure,,"Devis, facture et suivi administratif",Pas de suivi des marges ni de la rentabilité par chantier,Export comptable ou lien vers un tableur,,,,Afficher,Important
n8l4j9e8,169f527c,Brochure,,"Devis, facture et suivi administratif",Classement et archivage difficile des documents administratifs,Calcul automatique de la marge par chantier,,,,Afficher,Important
f0h8j3l3,169f527c,Brochure,,Gestion du matériel et des stocks,Oublis de commande de matériel avant le chantier,Fiche stock automatisée (entrée/sortie),,,,Afficher,Important
i9c3x6o0,169f527c,Brochure,,Gestion du matériel et des stocks,Manque de visibilité sur le stock,Scan QR code ou code-barres sur chaque produit,,,,Afficher,Important
p3b1n1r1,169f527c,Brochure,,Gestion du matériel et des stocks,Achat de matériel en double ou inutile,Liste de matériel nécessaire par type de chantier,,,,Afficher,Important
o4u8c3l4,169f527c,Brochure,,Gestion du matériel et des stocks,Difficile de savoir où se trouve un outil (camion / dépôt / chantier),Suivi des outils attribués à chaque technicien,,,,Afficher,Important
d3a1a0v2,169f527c,Brochure,,Gestion du matériel et des stocks,Pertes ou oublis de matériel sur place,Alertes sur stocks faibles ou commandes à passer,,,,Afficher,Important
l8a6b3a6,169f527c,Brochure,,Gestion des équipes et sous-traitants,Mauvaise communication entre le chef et les ouvriers,Planning collaboratif (chantiers / techniciens / heures),,,,Afficher,Important
t4t7f9a7,169f527c,Brochure,,Gestion des équipes et sous-traitants,Difficulté à savoir qui est sur quel chantier,Pointage mobile via smartphone,,,,Afficher,Important
z9m7q1j5,169f527c,Brochure,,Gestion des équipes et sous-traitants,Pas de suivi des heures de travail réelles ou difficulté à récupérer les heures de chaque employé,Suivi automatique du temps passé par chantier,,,,Afficher,Important
c4e2a2d2,169f527c,Brochure,,Gestion des équipes et sous-traitants,Feuilles de présence papier perdues ou mal remplies,Système de messagerie ou notes internes liées au chantier,,,,Afficher,Important
e6d8a3k2,169f527c,Brochure,,Gestion des équipes et sous-traitants,Problèmes de coordination avec les sous-traitants,Gestion des absences et remplacements,,,,Afficher,Important
e4f2m2s7,169f527c,Brochure,,Suivi client et SAV,"Difficulté à retrouver l’historique d’un client (travaux faits, devis, factures)",Fiche client complète avec historique,,,,Afficher,Important
w8m9w7a9,169f527c,Brochure,,Suivi client et SAV,Perte de temps à gérer les appels et réclamations,Suivi des interventions passées et à venir,,,,Afficher,Important
z0z0d9u4,169f527c,Brochure,,Suivi client et SAV,Pas de suivi structuré des garanties,Rappels automatiques pour les entretiens annuels,,,,Afficher,Important
s1b2j4j9,169f527c,Brochure,,Suivi client et SAV,Gestion des garanties (pose / produit),Gestion des tickets SAV (problème → technicien assigné → résolution),,,,Afficher,Important
h6j5z6e6,169f527c,Brochure,,Planification et agenda,Difficulté à organiser les rendez-vous clients,Agenda partagé synchronisé,,,,Afficher,Important
k8y5f8y9,169f527c,Brochure,,Planification et agenda,Oublis d’interventions prévues,Notifications automatiques des changements,,,,Afficher,Important
d5b1t8b9,169f527c,Brochure,,Planification et agenda,Pas de synchronisation entre le bureau et les techniciens,Vue hebdomadaire ou mensuelle des chantiers,,,,Afficher,Important
z4q2z8w6,169f527c,Brochure,,Planification et agenda,Temps perdu à réorganiser les plannings après imprévus,"Gestion des urgences (dépannage rapide, …)",,,,Afficher,Important
j2x3m3p6,169f527c,Brochure,,Suivi financier et rentabilité,Pas de vision claire sur les marges par chantier,"Tableau de bord financier (chiffre d’affaires, dépenses, marges)",,,,Afficher,Important
n7w4l0d9,169f527c,Brochure,,Suivi financier et rentabilité,"Oublis de frais (déplacements, fournitures, sous-traitance)",Saisie simple des dépenses par photo de ticket,,,,Afficher,Important
j1s3n9k9,169f527c,Brochure,,Suivi financier et rentabilité,Difficile de comparer les coûts estimés / réels,Rapports automatiques de rentabilité,,,,Afficher,Important
z9u6z7y6,169f527c,Brochure,,Suivi financier et rentabilité,Suivi comptable manuel et lourd,Suivi des acomptes et factures,,,,Afficher,Important
j5n5s9l0,169f527c,Brochure,,La Gestion des chantiers,"Difficulté à centraliser les photos, devis et notes de chantier","Suivi des commandes fournisseurs (fenêtres, portes, volets, etc.)",,,,Afficher,Important
k2b9f2b3,169f527c,Brochure,,La Gestion des chantiers,Retards liés à la fabrication ou au transport,Gestion des interventions multi-équipes sur un même chantier,,,,Afficher,Important
d6f5g2e0,169f527c,Brochure,,"Devis, facture et suivi administratif",Devis non signés ou validés après trop de temps,Classement automatique des documents,,,,Afficher,Important
u9k2n1c1,169f527c,Brochure,,"Devis, facture et suivi administratif",Perte de temps à retrouver les documents pour un client,Possibilité de signatures électroniques,,,,Afficher,Important
j7o0k8e7,169f527c,Brochure,,"Devis, facture et suivi administratif",Mauvaise visibilité sur les factures impayées,,,,,Afficher,Important
i2d4t8b6,169f527c,Brochure,,"Devis, facture et suivi administratif",Difficulté à générer des rapports comptables fiables,,,,,Afficher,Important
c2r2c3o7,169f527c,Brochure,,Gestion du matériel et des stocks,"Gestion du matériel de chantier (scie, perceuse, visseuse, etc.)",Gestion du parc d’outillage partagé,,,,Afficher,Important
j9s1f7q3,169f527c,Brochure,,Gestion du matériel et des stocks,Temps perdu à faire l’inventaire,Inventaire automatisé et rapide,,,,Afficher,Important
d0v0m3k3,169f527c,Brochure,,Gestion du matériel et des stocks,Manque de contrôle sur les outils attribués aux techniciens,Suivi des retours et échanges fournisseurs,,,,Afficher,Important
a3y4l0x4,169f527c,Brochure,,Gestion du matériel et des stocks,Difficulté à anticiper le besoin en matériel selon les chantiers futurs,Alerte sur retards de livraison,,,,Afficher,Important
p4u5z2q8,169f527c,Brochure,,Gestion du matériel et des stocks,Gestion compliquée des retours ou échanges fournisseurs,,,,,Afficher,Important
w2q0j9n9,169f527c,Brochure,,Gestion des équipes et sous-traitants,Mauvaise gestion des congés et absences,Statistiques et reporting sur performances des équipes,,,,Afficher,Important
a1n1t3b4,169f527c,Brochure,,Gestion des équipes et sous-traitants,Temps perdu à replanifier après imprévus,Fiche technicien avec compétences et spécialités,,,,Afficher,Important
u4f4h6r5,169f527c,Brochure,,Gestion des équipes et sous-traitants,Difficulté à prioriser les interventions selon les compétences,Système d’évaluation interne après chaque chantier,,,,Afficher,Important
x0f9h1v9,169f527c,Brochure,,Gestion des équipes et sous-traitants,Gestion compliquée des remplacements,,,,,Afficher,Important
f5r4e0f2,169f527c,Brochure,,Gestion des équipes et sous-traitants,Pas de suivi des performances ou indicateurs équipes,,,,,Afficher,Important
x4u1q2z2,169f527c,Brochure,,Suivi client et SAV,Difficulté à rappeler les clients pour suivis réguliers,Priorisation et affectation intelligente selon compétences,,,,Afficher,Important
j0l4y1u9,169f527c,Brochure,,Suivi client et SAV,Oubli de documents contractuels ou preuves de passage,,,,,Afficher,Important
f5x2t5o1,169f527c,Brochure,,Suivi client et SAV,Gestion des urgences non planifiée,,,,,Afficher,Important
x6u9a1z4,169f527c,Brochure,,Suivi client et SAV,Difficulté à affecter le bon technicien selon le problème,,,,,Afficher,Important
q2c9g1s5,169f527c,Brochure,,Suivi client et SAV,Difficulté à prioriser les tickets SAV,,,,,Afficher,Important
s0y4p4l8,169f527c,Brochure,,Suivi client et SAV,Communication dispersée avec le client,,,,,Afficher,Important
c9s6q6g4,169f527c,Brochure,,Planification et agenda,Difficulté à gérer urgences et dépannages rapides,Mise à jour instantanée pour tous les collaborateurs,,,,Afficher,Important
x0u0m5h9,169f527c,Brochure,,Planification et agenda,Double réservation ou chevauchement de rendez-vous,Suivi visuel des disponibilités par équipe de pose,,,,Afficher,Important
o9a4r2l4,169f527c,Brochure,,Planification et agenda,Visibilité insuffisante sur la disponibilité des techniciens,,,,,Afficher,Important
d5i0p8d2,169f527c,Brochure,,Planification et agenda,Absence de planning partagé accessible à tous,,,,,Afficher,Important
j5p2f5g0,169f527c,Brochure,,Planification et agenda,Manque de vue globale sur la semaine/mois,,,,,Afficher,Important
a0s1b2q3,169f527c,Brochure,,Planification et agenda,Réorganisation lourde après annulations,,,,,Afficher,Important
i7m9l3m1,169f527c,Brochure,,Suivi financier et rentabilité,Temps perdu à consolider les dépenses,Comparaison coûts estimés / réels et alertes sur dépassements,,,,Afficher,Important
t4a3t4n8,169f527c,Brochure,,Suivi financier et rentabilité,Manque de visibilité sur chiffre d’affaires global,Alerte sur les chantiers non rentables,,,,Afficher,Important
w6m7i3o6,169f527c,Brochure,,Suivi financier et rentabilité,Difficile de prévoir les budgets pour futurs chantiers,,,,,Afficher,Important
g3q7q7j4,169f527c,Brochure,,Suivi financier et rentabilité,Gestion des acomptes et factures partiellement reçues,,,,,Afficher,Important
c7y0n7n1,169f527c,Brochure,,Suivi financier et rentabilité,Difficulté à identifier les chantiers non rentables,,,,,Afficher,Important
a3f0p2n5,169f527c,Brochure,,Suivi financier et rentabilité,Reporting financier peu clair ou inexistant,,,,,Afficher,Important
t9s2o5s9,1a7b118b,Mail,,La Gestion des chantiers,Difficulté à suivre l’avancement et les étapes de chaque chantier,Tableau de bord des chantiers avec statut (prévu / en cours / terminé),,Vous rencontrez des difficultés à suivre l’avancement de vos chantiers ? Trop informations perdues/dispersées entre le bureau et le terrain ?,"La solution : un tableau de bord pour une gestion optimale de vos plannings et donc des chantiers avec tous les éléments dans chaque dossier chantier (chantier en cours/terminé, chantier urgent, …).",Afficher,Important
i2b0d8r5,1a7b118b,Mail,,La Gestion des chantiers,Perte d’informations entre le bureau et le terrain,Suivi des étapes clés,,,,Afficher,Important
q8e1x6y4,1a7b118b,Mail,,La Gestion des chantiers,Photos et notes dispersées ou perdues,Historique photo et compte rendu par date/intervenant,,,,Afficher,Important
m7k8y2j6,1a7b118b,Mail,,La Gestion des chantiers,Planification complexe des interventions en fonction des urgences,Création d'alerte et attribution d'états de priorité,,,,Afficher,Important
g4z8x4p7,1a7b118b,Mail,,"Devis, facture et suivi administratif","Création de devis/factures fastidieuse ou dispersée (erreur de calcul, oublis de lignes, ...)",Génération automatique de devis/factures à partir des interventions,,"La gestion de vos devis, factures et documents administratifs est désordonnée (erreur de calcul, oublis de lignes, oublis de relance de paiement, ...) ?","La solution : un outil de génération automatique de devis et de factures avec un suivi des paiements et un système d’alerte pour les impayés ou retards de paiement ainsi qu'une centralisation de tout l’historique des clients et des chantiers (factures liées, photos, documents, ...).",Afficher,Important
h9t3k4r7,1a7b118b,Mail,,"Devis, facture et suivi administratif",Difficulté à suivre les paiements clients et relances,Suivi des paiements (reçu / en attente / relance) et Alerte pour les impayés ou retards de devis à envoyer,,,,Afficher,Important
b8t3j7p8,1a7b118b,Mail,,"Devis, facture et suivi administratif",Classement et historique des documents administratifs,"Centralisation de tout l’historique client et chantier (factures liées, ...)",,,,Afficher,Important
s2q6r5l2,1a7b118b,Mail,,Gestion du matériel et des stocks,Oublis de commande de matériel avant le chantier,Système d'alertes pour les commandes à passer,,"Vous rencontrez des difficultés dans la gestion de votre stock (manque de visibilité sur le stock actuel, matériel inutile ou en double, ...) ? Vous oubliez parfois de commander du matériel ?","La solution : Un système d'alertes pour les commandes à passer, création de fiches de stocks (entrée/sortie) automatiques, liste de matériel nécessaire par type de chantier et création d'un suivi des outils attribués à chaque technicien.",Afficher,Important
e4t1t8r3,1a7b118b,Mail,,Gestion du matériel et des stocks,Manque de visibilité sur le stock,Fiche stock automatisée (entrée/sortie),,,,Afficher,Important
q1a0q2g4,1a7b118b,Mail,,Gestion du matériel et des stocks,Achat de matériel en double ou inutile,Liste de matériel nécessaire par type de chantier,,,,Afficher,Important
k3j7m2w7,1a7b118b,Mail,,Gestion du matériel et des stocks,Difficile de savoir où se trouve un outil (camion / dépôt / chantier),Suivi des outils attribués à chaque technicien,,,,Afficher,Important
p9u3k4c6,1a7b118b,Mail,,Gestion des équipes et sous-traitants,Difficulté à savoir qui est sur quel chantier,Planning collaboratif en temps réel (chantiers / techniciens / heures),,"Le suivi des heures réelles travaillées, la récupération des heures supp ou savoir qui est sur quel chantier vous pose problème ?",La solution : Un planning collaboratif en temps réel (chantiers / techniciens / heures) avec un système de pointage mobile via smartphone et tableau de bord résumant le tout.,Afficher,Important
r2i6i3z9,1a7b118b,Mail,,Gestion des équipes et sous-traitants,Pas de suivi des heures de travail réelles ou difficulté à récupérer les heures de chaque employé,Pointage mobile via smartphone (avec une possible géolocalisation chantier),,,,Afficher,Important
e5s0h0n4,1a7b118b,Mail,,Gestion des équipes et sous-traitants,Problèmes de coordination avec les sous-traitants,Messagerie interne par chantier ou Planning collaboratif avec états d'avancement,,,,Afficher,Important
c1s9z3r8,1a7b118b,Mail,,Suivi client et SAV,"Difficulté à retrouver l’historique d’un client (travaux faits, devis, factures)",Fiche client complète avec historique,,"Le suivi client est fastidieux avec des difficultés à retrouver les historiques (travaux faits, devis, factures), vous perdez du temps à gérer les appels/réclamations de SAV et la planification des rendez-vous est complexe ?","La solution : Des fiches clients complètes avec historique, un suivi des interventions passées et à venir, l'envoi de rappels automatiques pour les rendez-vous et un outil de gestion des tickets SAV (problème → technicien assigné → résolution).",Afficher,Important
k6c1w2d4,1a7b118b,Mail,,Suivi client et SAV,Perte de temps à gérer les appels et réclamations,Suivi des interventions passées et à venir,,,,Afficher,Important
e7x4g3o7,1a7b118b,Mail,,Suivi client et SAV,Suivi des garanties décennales et levée de réserves,Alertes pour échéances de garantie ou reprise et Gestion des tickets SAV (problème → technicien assigné → résolution),,,,Afficher,Important
j3r3i7p9,1a7b118b,Mail,,Planification et agenda,Difficulté à organiser les rendez-vous clients,Agenda partagé synchronisé,,"Vous rencontrez des difficultés à organiser les rendez-vous clients, vous oubliez parfois des interventions prévues et les imprévus vous font perdre du temps ?",La solution : Un agenda partagé avec l'envoi de notifications automatiques lors des modifications ainsi qu'un outil de gestion des urgences.,Afficher,Important
k0k9b7g8,1a7b118b,Mail,,Planification et agenda,Oublis d’interventions prévues,Notifications automatiques des changements,,,,Afficher,Important
r4m5j2z5,1a7b118b,Mail,,Planification et agenda,Temps perdu à réorganiser les plannings après imprévus,Vue hebdomadaire ou mensuelle des chantiers,,,,Afficher,Important
i2c6y8a0,1a7b118b,Mail,,Suivi financier et rentabilité,Pas de vision claire sur les marges par chantier,"Tableau de bord financier (chiffre d’affaires, dépenses, marges)",,"Vous manquez de vision claire sur les marges par chantier (comparer les coûts estimés / réels, ...) et cela vous arrive d'oublier des frais ou dépenses annexes (déplacements, fournitures, sous-traitance) ?","La solution : Un tableau de bord financier (chiffre d’affaires, dépenses, marges), la saisie simple des dépenses par photo de tickets/factures ainsi que des rapports automatiques de rentabilité.",Afficher,Important
k3z9m1s7,1a7b118b,Mail,,Suivi financier et rentabilité,"Oublis de frais ou dépenses annexes (déplacements, fournitures, sous-traitance)",Saisie simple des dépenses par photo de ticket,,,,Afficher,Important
b6t0t6j2,1a7b118b,Mail,,Suivi financier et rentabilité,Difficile de comparer les coûts estimés / réels,Rapports automatiques de rentabilité,,,,Afficher,Important
y7x6d3v7,1a7b118b,Brochure,,La Gestion des chantiers,Difficulté à suivre l’avancement et les étapes de chaque chantier,Tableau de bord des chantiers avec statut (prévu / en cours / terminé),,,,Afficher,Important
w8f8u2y4,1a7b118b,Brochure,,La Gestion des chantiers,Manque de visibilité sur les interventions à venir,Suivi des étapes clés,,,,Afficher,Important
c1r0u4w7,1a7b118b,Brochure,,La Gestion des chantiers,Perte d'informations entre le bureau et le terrain,Check-list automatique pour chaque type d’intervention,,,,Afficher,Important
p4i6q0k7,1a7b118b,Brochure,,La Gestion des chantiers,Pas de suivi des heures passées par chantier,Historique photo et compte rendu par date/intervenant,,,,Afficher,Important
c1f3d5v8,1a7b118b,Brochure,,La Gestion des chantiers,Coordination difficile avec les sous-traitants ou artisans externes,Notifications et alertes pour interventions urgentes ou retardées,,,,Afficher,Important
z5n5c6u9,1a7b118b,Brochure,,La Gestion des chantiers,Difficile de planifier les passages en fonction des urgences ou retards,Planification intelligente selon disponibilités et urgences,,,,Afficher,Important
f6r0g0y0,1a7b118b,Brochure,,La Gestion des chantiers,"Pas de traçabilité sur les interventions (qui est passé, quand, pourquoi)",Suivi du temps passé par chantier,,,,Afficher,Important
q4w8n5x6,1a7b118b,Brochure,,La Gestion des chantiers,Oublis de tâches à faire sur certains chantiers,Gestion centralisée des sous-traitants et collaborateurs,,,,Afficher,Important
t4g4u2s2,1a7b118b,Brochure,,"Devis, facture et suivi administratif","Création de devis/factures fastidieuse ou dispersée (Papier, logiciels, ...)",Génération automatique de devis/factures à partir des interventions,,,,Afficher,Important
p7b2z5y3,1a7b118b,Brochure,,"Devis, facture et suivi administratif",Erreurs de calculs ou oublis de lignes dans les devis,Historique client + factures liées,,,,Afficher,Important
b4a4z4n9,1a7b118b,Brochure,,"Devis, facture et suivi administratif",Difficulté à suivre les paiements clients et relances,Suivi des paiements (reçu / en attente / relance),,,,Afficher,Important
o1u2n5d9,1a7b118b,Brochure,,"Devis, facture et suivi administratif",Gestion manuelle des acomptes et soldes,Alerte pour les impayés ou retards de devis à envoyer,,,,Afficher,Important
x0z7e7j3,1a7b118b,Brochure,,"Devis, facture et suivi administratif",Pas de suivi des marges ni de la rentabilité par chantier,Export comptable ou lien vers un tableur,,,,Afficher,Important
j3z4n3a3,1a7b118b,Brochure,,"Devis, facture et suivi administratif",Classement et archivage difficile des documents administratifs,Calcul automatique de la marge par chantier,,,,Afficher,Important
k0b3m7n9,1a7b118b,Brochure,,Gestion du matériel et des stocks,Oublis de commande de matériel avant le chantier,Fiche stock automatisée (entrée/sortie),,,,Afficher,Important
e5j3n8g4,1a7b118b,Brochure,,Gestion du matériel et des stocks,Manque de visibilité sur le stock,Scan QR code ou code-barres sur chaque produit,,,,Afficher,Important
w3f8m6c1,1a7b118b,Brochure,,Gestion du matériel et des stocks,Achat de matériel en double ou inutile,Liste de matériel nécessaire par type de chantier,,,,Afficher,Important
m0k8g4k6,1a7b118b,Brochure,,Gestion du matériel et des stocks,Difficile de savoir où se trouve un outil (camion / dépôt / chantier),Suivi des outils attribués à chaque technicien,,,,Afficher,Important
e8l7b9r2,1a7b118b,Brochure,,Gestion du matériel et des stocks,Pertes ou oublis de matériel sur place,Alertes sur stocks faibles ou commandes à passer,,,,Afficher,Important
d7p0s8e7,1a7b118b,Brochure,,Gestion des équipes et sous-traitants,Mauvaise communication entre le chef et les ouvriers,Planning collaboratif (chantiers / techniciens / heures),,,,Afficher,Important
n6g9s4o9,1a7b118b,Brochure,,Gestion des équipes et sous-traitants,Difficulté à savoir qui est sur quel chantier,Pointage mobile via smartphone (avec une possible géolocalisation chantier),,,,Afficher,Important
b0z0x2g7,1a7b118b,Brochure,,Gestion des équipes et sous-traitants,Pas de suivi des heures de travail réelles ou difficulté à récupérer les heures de chaque employé,Suivi automatique du temps passé par chantier,,,,Afficher,Important
f4s8s1m7,1a7b118b,Brochure,,Gestion des équipes et sous-traitants,Feuilles de présence papier perdues ou mal remplies,Système de messagerie ou notes internes liées au chantier,,,,Afficher,Important
d5e2j6i2,1a7b118b,Brochure,,Gestion des équipes et sous-traitants,Problèmes de coordination avec les sous-traitants,Gestion des absences et remplacements,,,,Afficher,Important
r3a1i3r9,1a7b118b,Brochure,,Suivi client et SAV,"Difficulté à retrouver l’historique d’un client (travaux faits, devis, factures)",Fiche client complète avec historique,,,,Afficher,Important
n0h5j9g1,1a7b118b,Brochure,,Suivi client et SAV,Perte de temps à gérer les appels et réclamations,Suivi des interventions passées et à venir,,,,Afficher,Important
m7s2b1i5,1a7b118b,Brochure,,Suivi client et SAV,Pas de suivi structuré des garanties,Alertes pour échéances de garantie ou reprise,,,,Afficher,Important
l0s6a1e8,1a7b118b,Brochure,,Suivi client et SAV,Suivi des garanties décennales et levée de réserves,Gestion des tickets SAV (problème → technicien assigné → résolution),,,,Afficher,Important
s4i1s8x0,1a7b118b,Brochure,,Planification et agenda,Difficulté à organiser les rendez-vous clients,Agenda partagé synchronisé,,,,Afficher,Important
h3u1x2g8,1a7b118b,Brochure,,Planification et agenda,Oublis d’interventions prévues,Notifications automatiques des changements,,,,Afficher,Important
